semSeca,s0s4,s1s4,s2s4,s3s4,s4,mes,ano,uf
100,0,0,0,0,0,5,2023,CE
100,0,0,0,0,0,4,2023,CE
100,0,0,0,0,0,3,2023,CE
"95,19","4,81",0,0,0,0,2,2023,CE
"88,92","11,08",0,0,0,0,1,2023,CE
"85,43","14,57",0,0,0,0,12,2022,CE
"71,5","28,5",0,0,0,0,11,2022,CE
"67,79","32,21",0,0,0,0,10,2022,CE
"62,3","37,7",0,0,0,0,9,2022,CE
"86,46","13,54",0,0,0,0,8,2022,CE
"83,39","16,61",0,0,0,0,7,2022,CE
"83,39","16,61",0,0,0,0,6,2022,CE
"83,4","16,6",0,0,0,0,5,2022,CE
"81,13","18,87",0,0,0,0,4,2022,CE
"62,88","37,12",0,0,0,0,3,2022,CE
"10,48","89,52","3,42",0,0,0,2,2022,CE
"10,72","89,28","3,42",0,0,0,1,2022,CE
"9,84","90,16","32,28",0,0,0,12,2021,CE
"9,84","90,16","60,2",0,0,0,11,2021,CE
"0,29","99,71","60,31",0,0,0,10,2021,CE
"0,29","99,71","60,3",0,0,0,9,2021,CE
"0,3","99,7","60,3",0,0,0,8,2021,CE
0,100,"60,3",0,0,0,7,2021,CE
0,100,"58,77",0,0,0,6,2021,CE
"0,61","99,39","52,25",0,0,0,5,2021,CE
"0,61","99,39","43,78",0,0,0,4,2021,CE
0,100,"36,28",0,0,0,3,2021,CE
0,100,"34,26",0,0,0,2,2021,CE
"9,18","90,82","29,19",0,0,0,1,2021,CE
"16,83","83,17",0,0,0,0,12,2020,CE
"20,36","79,64",0,0,0,0,11,2020,CE
"20,36","79,64",0,0,0,0,10,2020,CE
"37,68","62,32",0,0,0,0,9,2020,CE
"59,71","40,29",0,0,0,0,8,2020,CE
"79,16","20,84",0,0,0,0,7,2020,CE
"79,16","20,84",0,0,0,0,6,2020,CE
"79,18","20,82",0,0,0,0,5,2020,CE
69,31,0,0,0,0,4,2020,CE
"38,84","61,16","0,33",0,0,0,3,2020,CE
"31,71","68,29","57,96","0,24",0,0,2,2020,CE
"19,43","80,57","64,92","28,27",0,0,1,2020,CE
"7,95","92,05","76,04","28,3",0,0,12,2019,CE
"8,15","91,85","69,11","15,49",0,0,11,2019,CE
"24,5","75,5","64,5","0,02",0,0,10,2019,CE
"29,62","70,38","64,43",0,0,0,9,2019,CE
"33,19","66,81","43,16",0,0,0,8,2019,CE
"38,39","61,61","25,4",0,0,0,7,2019,CE
"41,21","58,79","21,94",0,0,0,6,2019,CE
"50,63","49,37","16,89",0,0,0,5,2019,CE
66,34,"20,43",0,0,0,4,2019,CE
"65,36","34,64","20,53","8,55",0,0,3,2019,CE
"59,71","40,29","25,25","15,03","0,62",0,2,2019,CE
"42,03","57,97","40,14","25,09","0,62",0,1,2019,CE
"7,55","92,45","58,59","49,28","0,62",0,12,2018,CE
0,100,91,"49,28","20,68",0,11,2018,CE
0,100,"85,49","38,41","23,19",0,10,2018,CE
0,100,"75,99","38,45","19,36",0,9,,CE
"8,3","91,7","52,66","25,56","8,17",0,8,2018,CE
"8,3","91,7","48,49","25,08",0,0,7,2018,CE
"36,75","63,25","41,02","7,56",0,0,6,2018,CE
"36,76","63,24","40,06","2,82",0,0,5,2018,CE
"36,82","63,18","54,63","8,31",0,0,4,2018,CE
"25,47","74,53","63,25","48,28","6,99",0,3,2018,CE
"16,53","83,47","70,71","60,25","8,08",0,2,2018,CE
0,100,"82,45","73,1","53,43","30,41",1,2018,CE
0,100,"94,51","76,38","56,65","32,23",12,2017,CE
0,100,"94,51","72,16","43,91","26,52",11,2017,CE
0,100,"69,55","55,33","37,29","24,61",10,2017,CE
"0,02","99,98","67,21","51,73","33,66","10,61",9,2017,CE
"19,88","80,12","52,9","41,85","19,61","0,52",8,2017,CE
"36,25","63,75","50,05","36,72","10,31","0,01",7,2017,CE
"36,25","63,75","50,05","36,72","10,31","0,01",6,2017,CE
"41,88","58,12","45,5","35,49","4,65",0,5,2017,CE
"18,52","81,48","42,52","33,45","0,63","0,04",4,2017,CE
0,100,"55,97","37,35","1,55",0,3,2017,CE
0,100,100,"83,82","53,21","6,55",2,2017,CE
0,100,100,100,"88,78","63,64",1,2017,CE
0,100,100,100,91,"58,02",12,2016,CE
0,100,100,100,"87,75","58,02",11,2016,CE
0,100,100,100,"79,52","55,49",10,2016,CE
0,100,100,"95,1","73,26","34,38",9,2016,CE
0,100,100,"83,78","58,51","14,06",8,2016,CE
0,100,100,"80,47","37,18","7,5",7,2016,CE
0,100,"99,45","78,92","26,97",0,6,2016,CE
"0,51","99,49","88,85","63,23","15,86",0,5,2016,CE
"4,94","95,06","77,98","53,14","15,83",0,4,2016,CE
"13,91","86,09","69,21","52,78","15,83",0,3,2016,CE
"9,62","90,38","85,82","68,13","55,87",0,2,2016,CE
"9,62","90,38","85,82","68,13","50,37",0,1,2016,CE
0,100,100,"88,98","78,7","53,8",12,2015,CE
0,100,100,"79,16","70,2","36,51",11,2015,CE
0,100,"88,6","79,16","70,2","36,71",10,2015,CE
0,100,"80,26","72,65","62,82","34,94",9,2015,CE
4,96,"80,26","72,65","62,82","24,81",8,2015,CE
"13,65","86,35","74,81",72,"64,66","18,43",7,2015,CE
"1,96","98,04","87,28","80,26","51,87","16,39",6,2015,CE
"2,08","97,92","84,5","75,42","45,21","4,53",5,2015,CE
"2,52","97,48","88,09","81,27","46,41","6,65",4,2015,CE
0,100,"99,4","75,88","52,48","4,59",3,2015,CE
0,100,100,"86,82","65,69","17,76",2,2015,CE
0,100,100,100,"96,7","6,61",1,2015,CE
"0,05","99,95","99,86","96,6","75,63","22,76",12,2014,CE
"0,05","99,95","99,86","96,6","75,63","22,76",11,2014,CE
0,100,"97,12","79,1","67,6","22,7",10,2014,CE
0,100,"97,12","79,38","64,64","22,7",9,2014,CE
"1,34","98,66","83,65","49,15","26,13","10,57",8,2014,CE
"1,34","98,66",85,"49,37","26,58","11,14",7,2014,CE
"52,67","47,33",0,0,0,0,6,2025,ES
"52,67","47,33",0,0,0,0,5,2025,ES
"9,71","90,29",0,0,0,0,4,2025,ES
0,100,0,0,0,0,3,2025,ES
0,100,0,0,0,0,2,2025,ES
"68,58","31,42",0,0,0,0,1,2025,ES
0,100,0,0,0,0,12,2024,ES
0,100,"32,09",0,0,0,11,2024,ES
0,100,"49,84",0,0,0,10,2024,ES
0,100,100,0,0,0,9,2024,ES
0,100,"91,48",0,0,0,8,2024,ES
0,100,"67,89",0,0,0,7,2024,ES
0,100,0,0,0,0,6,2024,ES
"37,21","62,79",0,0,0,0,5,2024,ES
"37,21","62,79",0,0,0,0,4,2024,ES
"37,21","62,79",0,0,0,0,3,2024,ES
"0,03","99,97",0,0,0,0,2,2024,ES
0,100,"40,77",0,0,0,1,2024,ES
0,100,"40,72",0,0,0,12,2023,ES
0,100,"32,85",0,0,0,11,2023,ES
"95,88","4,12",0,0,0,0,10,2023,ES
"95,88","4,12",0,0,0,0,9,2023,ES
"78,4","21,6",0,0,0,0,8,2023,ES
"17,3","82,7",0,0,0,0,7,2023,ES
"17,3","82,7",0,0,0,0,6,2023,ES
"17,3","82,7",0,0,0,0,5,2023,ES
"61,16","38,84",0,0,0,0,4,2023,ES
"61,16","38,84",0,0,0,0,3,2023,ES
